num;city_code;surface;density_code
0;01001;15.95;6
1;01002;9.15;6
2;01004;24.6;2
3;01005;15.92;5
4;01006;5.88;6
5;01007;33.55;6
6;01008;5.22;4
7;01009;6.94;6
8;01010;29.26;5
9;01011;14.57;6
10;01012;21.65;6
11;01013;14.1;7
12;01014;23.49;4
13;01015;22.49;6
14;01016;17.47;6
15;01017;7.84;6
16;01019;6.82;7
17;01021;5.5;5
18;01022;3.75;5
19;01023;4.68;6
20;01024;18.69;5
21;01025;56.87;6
22;01026;0.88;5
23;01027;18.04;5
24;01028;8.91;6
25;01029;14.07;6
26;01030;0.94;4
27;01031;7.83;2
28;01032;13.3;5
29;01033;62.53;2
30;01034;22.42;3
31;01035;17.63;6
32;01036;56.71;6
33;01037;15.33;6
34;01038;18.25;6
35;01040;10.83;6
36;01041;3.37;4
37;01042;2.77;6
38;01043;10.64;2
39;01044;13.7;6
40;01045;15.83;6
41;01046;11.39;6
42;01047;9.32;6
43;01049;9.4;4
44;01050;9.05;6
45;01051;4.92;7
46;01052;26.09;7
47;01053;23.86;2
48;01054;8.98;5
49;01056;16.94;6
50;01057;7.31;6
51;01058;11;6
52;01060;23.79;6
53;01061;6.9;6
54;01062;7.73;4
55;01063;4.48;3
56;01064;12.29;6
57;01065;10.21;5
58;01066;10.82;7
59;01067;10.01;6
60;01068;12.3;6
61;01069;15.92;5
62;01071;6.39;4
63;01072;9.36;5
64;01073;19.72;6
65;01074;32.88;5
66;01075;17;5
67;01076;4.6;6
68;01077;7.65;6
69;01078;8.67;3
70;01079;18.16;6
71;01080;31.53;6
72;01081;32.4;6
73;01082;18.1;6
74;01083;12.63;6
75;01084;13.42;6
76;01085;13.37;6
77;01087;18.27;6
78;01088;6.62;5
79;01089;16.06;5
80;01090;14.95;6
81;01092;14.01;5
82;01093;17.98;5
83;01094;16.55;6
84;01095;30.98;6
85;01096;16.87;6
86;01098;15.44;6
87;01099;21.95;6
88;01100;6.26;6
89;01101;6.67;6
90;01102;17.2;6
91;01103;5.84;4
92;01104;46.57;6
93;01105;19.76;5
94;01106;4.52;6
95;01107;7.82;6
96;01108;16.87;6
97;01109;16.25;5
98;01110;5.96;6
